28539,SEK,NPR,1508206934019,9100.24
28540,MVR,GIP,1508206934119,7619.5
28541,PAB,ARS,1508206934219,-7880.11
28542,DKK,ANG,1508206934319,1997.33
28543,LTL,MGA,1508206934419,-477.12
28544,SGD,CHF,1508206934519,-3859.81
28545,HTG,HKD,1508206934619,-4710.02
28546,HTG,FJD,1508206934719,4305.51
28547,KHR,SEK,1508206934819,-2856.98
28548,SGD,AMD,1508206934919,6589.49
28549,SEK,GBP,1508206935019,3887.73
28550,SEK,KWD,1508206935119,7135.54
28551,SAR,ZMK,1508206935219,-6010.83
28552,NPR,BGN,1508206935319,-8227.2
28553,AED,RON,1508206935419,4713.35
28554,XBD,AMD,1508206935519,8813.72
28555,UYU,ALL,1508206935619,-468.73
28556,USD,DKK,1508206935719,-6376.39
28557,GIP,VND,1508206935819,7145.56
28558,IRR,LAK,1508206935919,1691.61
28559,COU,SAR,1508206936019,6218.54
28560,LKR,SEK,1508206936119,442
28561,MVR,SEK,1508206936219,-7529.31
28562,USD,FJD,1508206936319,-7350.38
28563,LYD,MXV,1508206936419,158.97
28564,ANG,BGN,1508206936519,6348.78
28565,RUB,MGA,1508206936619,7976.22
28566,JMD,JMD,1508206936719,1398.74
28567,CLP,RON,1508206936819,4140.57
28568,BRL,RUB,1508206936919,1801.17
28569,ARS,CLP,1508206937019,-66.72
28570,AED,XAU,1508206937119,-2571.57
28571,HKD,MNT,1508206937219,-7676.21
28572,AMD,KES,1508206937319,7550.96
28573,MNT,RON,1508206937419,783.42
28574,XBD,UYU,1508206937519,-8454.12
28575,EUR,MVR,1508206937619,-8811.9
28576,AUD,EUR,1508206937719,-3913.79
28577,RUB,ARS,1508206937819,161.71
28578,BMD,EUR,1508206937919,-8825.2
28579,THB,SEK,1508206938019,-305.14
28580,THB,ARS,1508206938119,4382.94
28581,EUR,CUP,1508206938219,-3170.51
28582,AED,JMD,1508206938319,-70.33
28583,GBP,USD,1508206938419,3132.36
28584,KES,BRL,1508206938519,9703.17
28585,ALL,PGK,1508206938619,9156.59
28586,GBP,LYD,1508206938719,-8546.53
28587,CLP,LYD,1508206938819,-262.11
28588,XBD,LAK,1508206938919,-3789.11
28589,EGP,ZMK,1508206939019,-4515.82
28590,AED,PAB,1508206939119,-4894.59
28591,TTD,JMD,1508206939219,6945.67
28592,GBP,ANG,1508206939319,4337.77
28593,COU,NPR,1508206939419,2515.76
28594,CHF,BRL,1508206939519,-3193.06
28595,AMD,XAU,1508206939619,4988.13
28596,ILS,BRL,1508206939719,7115.56
28597,JMD,DKK,1508206939819,-174.59
28598,SEK,XBD,1508206939919,2202.75
28599,KES,ARS,1508206940019,9582.34
28600,BAM,COU,1508206940119,-1897.86
28601,DKK,LYD,1508206940219,-8361.41
28602,PLN,ALL,1508206940319,-8734.42
28603,RUB,MGA,1508206940419,2561.87
28604,EUR,AED,1508206940519,4063.6
28605,ARS,FJD,1508206940619,3232.35
28606,COU,HTG,1508206940719,-6428.36
28607,YER,COU,1508206940819,9568.48
28608,ANG,NAD,1508206940919,-7765.39
28609,KES,USD,1508206941019,-1381.91
28610,MXV,AED,1508206941119,-8304.08
28611,NPR,COU,1508206941219,-2702.87
28612,EUR,PAB,1508206941319,6764.68
28613,KHR,EUR,1508206941419,-1388.4
28614,HTG,MVR,1508206941519,-3475.64
28615,AUD,PAB,1508206941619,9291.16
28616,NPR,KWD,1508206941719,1868.07
28617,CUP,AED,1508206941819,-6038.72
28618,LAK,SAR,1508206941919,-7247.33
28619,KWD,VND,1508206942019,8914.08
28620,HTG,ILS,1508206942119,230.04
28621,BRL,XAU,1508206942219,6897.02
28622,THB,ALL,1508206942319,5438.95
28623,RON,IRR,1508206942419,-9122.27
28624,XAU,BYR,1508206942519,-5617.38
28625,BYR,XBD,1508206942619,6278.64
28626,XBD,GBP,1508206942719,9200.14
28627,MNT,NAD,1508206942819,-1414.14
28628,ARS,EUR,1508206942919,6048.03
28629,FJD,PAB,1508206943019,6463.93
28630,UYU,TTD,1508206943119,-9510.01
28631,SAR,GTQ,1508206943219,3555.87
28632,MNT,RON,1508206943319,3857.97
28633,GBP,CUP,1508206943419,-1916.82
28634,CLP,USD,1508206943519,368.67
28635,GTQ,CLP,1508206943619,5310.48
28636,TND,USD,1508206943719,-6607.59
28637,AFN,BYR,1508206943819,-9901.87
28638,NPR,RON,1508206943919,272.13
28639,ANG,HKD,1508206944019,-4615.08
28640,HTG,BMD,1508206944119,-4858.6
28641,NAD,MVR,1508206944219,6839.71
28642,VND,BMD,1508206944319,6511.68
28643,MXV,GIP,1508206944419,-2525.73
28644,JMD,LYD,1508206944519,-4221.18
28645,RUB,BRL,1508206944619,1160.64
28646,SAR,UYU,1508206944719,582.05
28647,UYU,GBP,1508206944819,7249.21
28648,BGN,XAU,1508206944919,-3953.18
28649,LAK,THB,1508206945019,-4595.01
28650,SEK,LKR,1508206945119,-8171.04
28651,IRR,HTG,1508206945219,9997.73
28652,LKR,MXV,1508206945319,4585.3
28653,TND,AFN,1508206945419,5588.45
28654,GIP,TND,1508206945519,-3375.47
28655,FJD,DKK,1508206945619,-7996.05
28656,MXV,NPR,1508206945719,1200.5
28657,MGA,ALL,1508206945819,999.38
28658,KWD,ARS,1508206945919,-6078.04
28659,ILS,CLP,1508206946019,2454.18
28660,GTQ,MXV,1508206946119,-4647.77
28661,FJD,MXV,1508206946219,1372.17
28662,LKR,JMD,1508206946319,-9091.78
28663,TTD,HKD,1508206946419,6664.39
28664,ARS,VND,1508206946519,-3950.78
28665,PGK,KHR,1508206946619,-3149.34
28666,PLN,MVR,1508206946719,4446.39
28667,ILS,EUR,1508206946819,-1448.03
28668,PAB,EGP,1508206946919,7877.49
28669,VND,COU,1508206947019,-7848.85
28670,RUB,COU,1508206947119,-5903.3
28671,MGA,KES,1508206947219,-9471.26
28672,THB,MNT,1508206947319,-5453.64
28673,LYD,AMD,1508206947419,5650.48
28674,MGA,CHF,1508206947519,-9271.81
28675,MXV,CHF,1508206947619,-7629.12
28676,CUP,COU,1508206947719,6122.44
28677,KHR,AFN,1508206947819,-3433.49
28678,PGK,KHR,1508206947919,-8919.48
28679,AED,RUB,1508206948019,7125.62
28680,YER,ARS,1508206948119,9031.58
28681,GTQ,XAU,1508206948219,8964.29
28682,HTG,FJD,1508206948319,-6891.99
28683,LTL,NPR,1508206948419,-8256.81
28684,SEK,ARS,1508206948519,8944.26
28685,MGA,LTL,1508206948619,-9986.96
28686,SEK,PLN,1508206948719,9535.78
28687,LTL,BGN,1508206948819,-7123.46
28688,DKK,ZMK,1508206948919,-4180.18
28689,GIP,VND,1508206949019,1735.19
28690,AMD,AUD,1508206949119,-2219.67
28691,RON,XAU,1508206949219,-5829.71
28692,MGA,MVR,1508206949319,7670.37
28693,CUP,ANG,1508206949419,430.23
28694,ALL,MNT,1508206949519,3234.94
28695,AMD,JMD,1508206949619,364.16
28696,GIP,AED,1508206949719,5015
28697,CLP,TTD,1508206949819,6022.47
28698,FJD,EUR,1508206949919,9892.36
28699,FJD,ANG,1508206950019,-4334.79
28700,PAB,COU,1508206950119,-8469.52
28701,XAU,SGD,1508206950219,4773.37
28702,NAD,USD,1508206950319,7375.44
28703,XAU,PGK,1508206950419,9096.83
28704,LTL,AED,1508206950519,8064.36
28705,VND,ZMK,1508206950619,3115.3
28706,EUR,TND,1508206950719,-3331.27
28707,BMD,DKK,1508206950819,-2088.18
28708,MGA,MNT,1508206950919,6961.98
28709,MXV,TTD,1508206951019,-2194.88
28710,KES,CHF,1508206951119,8191.75
28711,HTG,XBD,1508206951219,1660.11
28712,CHF,YER,1508206951319,1568.75
28713,BYR,UYU,1508206951419,8162.39
28714,SGD,TTD,1508206951519,-4672.61
28715,ZMK,LYD,1508206951619,4131.35
28716,ZMK,LTL,1508206951719,1804.21
28717,TND,IRR,1508206951819,9848.31
